author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Rothausen K.,  , ",1958,,"Marine Vertebraten (Odontaspidae, Lamnidae, Sparidae, Dermochelyidae, Squalodontidae) in oberoligozanen Meeressand von Suchteln und Dusseldorf",Fortschr. Geol. Rheinld. u. Westf.,,,,,,,,,,,Rothausen,,Journal article,German,Rothausen 1958,rothausen 1958
"Roux C., Geistodoerfer P., ",1988,,Dents de requins et bulles tympaniques de cetaces: Noyaux de nodules polymetalliques recoltes dans L'Ocean Indien,Cybium,,,,,,,,,,,Roux,,Journal article,French,Roux & Geistodoerfer 1988,roux & geistodoerfer 1988
"Rowe T., Cifelli R. L., T. M. Lehman, A. Weil",1992,,"The Campanian Terlingua local fauna, with a summary of other vertebrates from the Aguja Formation, Trans-Pecos Texas",Journal of Vertebrate Paleontology,,,,,,,,,10.1080/02724634.1992.10011475,,Rowe,,Journal article,unknown,Rowe et al. 1992,rowe et al. 1992
"Rozefelds, A.C.",1993,,Lower Cretaceous Anacoracidae? (Lamniformes: Neoselachii); vertebrae and associated dermal scales from Australia.,Alcheringa,"Cretaceous, Early Cretaceous","Australia, Queensland",Pseudocorax sp.,,,,,,10.1080/03115519308619604,"Partially disarticulated shark vertebrae from the Lower Cretaceous Toolebuc Formation in central Queensland and the Bathurst Island Formation in the Northern Territory provide probable evidence of the Anacoracidae in Australia, and are possibly referable to Pseudocorax. Associated with large shark vertebrae from Canary Station, near Boulia, Queensland, are numerous placoid scales of four primary types which indicate a large pelagic shark. The Canary specimen is one of the few Mesozoic sharks known where scales have been found associated with vertebrae. Problems in referring the new shark material to the Anacoracidae and Pseudocorax are discussed. The significance of vertebral structure and scale morphology in Mesozoic shark evolution and ecology is examined. 'Lamna daviesii' Etheridge 1888 is considered a nomen dubium as vertebrae of this kind also occur in other genera in the Lamniformes, Orectolobiformes, and Carcharhinidae. ",Rozefelds,"Alcheringa, 17 (3): 199–210",Journal article,English,Rozefelds 1993,rozefelds 1993
"Ruddock A.,  , ",1966,,"The Tertiary limestone of the southern coastal regions of Cape Province, South Africa",Sedimentary Basins of the African Coasts,,,,,,,,,,,Ruddock,,Book chapter,English,Ruddock 1966,ruddock 1966
"Ruiz Muñoz, F. & Clauss Klamp, F.L. & González-Regalado, M.L.",1996,,"Primeras consideraciones sobre los Condrichtios de la Formación ""Arenas de Huelva"". ",Stvdia Geológica Salmanticensia,"Neogene, Pliocene","Europe, Spain","Hexanchus sp., Carcharhinus egertoni, Carcharhinus sp., Galeorhinus affinis, Paragaleus pulchellus, Hemipristis serra, Isurus desori, Isurus hastalis, Lamna cattica, Odontaspis acutissima, Odontaspis teretidens, Odontaspis cf. vorax, Odontaspis cf. cuspidata, Rhinoptera sp., Mobula sp.",,,,,,,"A rich fauna of selachians and batoids is recorded from the glauconitic level of the section-type of the ""Sands of Huelva"" Formation. Sixteen types were recognized in the unit studied, which indicate both a temperate-climate and a moderate depth (50 to 150 m) during the Lower Pliocene in this sector of the Guadalquivir Basin. ",Ruiz Muñoz,"Stvdia Geológica Salmanticensia, 32: 129–139",Abstract,Spanish,Ruiz Muñoz et al. 1996,ruiz munoz et al. 1996
"Ruiz-Omeñaca J. I., Canudo J. I., ",2001,,Dos yacimientos excepcionales con vertebrados continentales del Barremiense (Cretácico Inferior) de Teruel: Vallipón y La Cantalera [Two exceptional localities with continental vertebrates in the Barremian (Lower Cretaceous) of Teruel: Vallipón and La Cantalera],Naturaleza Aragonesa,,,,,,,,,,,Ruiz-Omeñaca,,Journal article,Spanish,Ruiz-omeñaca & Canudo 2001,ruiz omenaca & canudo 2001
"Ruiz-Omeñaca J. I., Canudo J. I., G. Cuenca-Bescós",1996,,Dientes de dinosaurios ornitópodos en el Barremiense superior de Castellote y Mas de las Matas (Teruel) [Ornithopod dinosaur teeth in the Upper Barremian of Castellote and Mas de las Matas (Teruel)],"Tomo Estraordinario, 125 Aniversario de la RSEHN. Real Sociedad Española de Historia Natural, Madrid",,,,,,,,,,,Ruiz-Omeñaca,,Book chapter,Spanish,Ruiz-omeñaca et al. 1996,ruiz omenaca et al. 1996
"Ruiz-Omeñaca J. I., Canudo J. I., M. Aurell, B. Bádenas, J. L. Barco, G. Cuenca-Bescós, J. Ipas",2004,,Estado de las investigaciones sobre los vertebrados del Jurásico Superior y Cretácico Interior de Galve (Teruel) [State of the investigations into the vertebrates of the Upper Jurassic and Lower Cretaceous of Galve (Teruel)],Estudios Geológicos,,,,,,,,,,,Ruiz-Omeñaca,,Journal article,Spanish,Ruiz-omeñaca et al. 2004,ruiz omenaca et al. 2004
"Rusconi C.,  , ",1934,,Tercera noticia sobre los vertebrados fosiles de las Arenas Puelchenses de Villa Ballester,Anales de la Socieded Cientifica Argentina,,,,,,,,,,,Rusconi,,Journal article,English,Rusconi 1934,rusconi 1934
"Rusconi C.,  , ",1949,,El puelchense de Buenos Aires y su fauna (Plioceno Medio) segunda parte,Publicaciones del Instituto de Fisiographia y Geologia,,,,,,,,,,,Rusconi,,Journal article,Spanish,Rusconi 1949,rusconi 1949
"Russell L. S.,  , ",1935,,"Fauna of the upper Milk River Beds, southern Alberta","Transactions of the Royal Society of Canada, series 3",,,,,,,,,,,Russell,,Journal article,English,Russell 1935,russell 1935
"Russell L. S.,  , ",1987,,"Biostratigraphy and paleontology of the Scollard Formation, Late Cretaceous and Paleocene of Alberta",Royal Ontario Museum Life Sciences Contribution,,,,,,,,,,,Russell,,Journal article,unknown,Russell 1987,russell 1987
"Russell D., Russell D. E., P. Taquet, H. Thomas",1976,,Nouvelles récoltes de vertébrés dans le terraines continentaux du Crétacé supérieur de la région de Majunga (Madagascar) [New collections of vertebrates in the Upper Cretaceous continental terrains of the Majunga region (Madagascar)],Comptes Rendus de la Société Géologique de France,,,,,,,,,,,Russell,,Journal article,French,Russell et al. 1976,russell et al. 1976
